ruc,anio,gore,n_contratos,n_gores_anio
20136318323,2021,AMAZONAS,1,1
20450157008,2021,AMAZONAS,1,2
20450326713,2021,AMAZONAS,3,1
20477530665,2021,AMAZONAS,1,2
20479683728,2021,AMAZONAS,1,1
20479790303,2021,AMAZONAS,1,1
20480427913,2021,AMAZONAS,1,1
20480774397,2021,AMAZONAS,1,1
20480791305,2021,AMAZONAS,2,1
20480836252,2021,AMAZONAS,3,1
20487499685,2021,AMAZONAS,2,2
20487611191,2021,AMAZONAS,1,1
20487909336,2021,AMAZONAS,1,1
20494079713,2021,AMAZONAS,1,1
20534166240,2021,AMAZONAS,1,2
20539016629,2021,AMAZONAS,1,1
20539201281,2021,AMAZONAS,3,1
20539273605,2021,AMAZONAS,2,1
20542271834,2021,AMAZONAS,1,1
20542312450,2021,AMAZONAS,1,2
20561152005,2021,AMAZONAS,2,1
20600147600,2021,AMAZONAS,1,1
20600542525,2021,AMAZONAS,1,1
20600798937,2021,AMAZONAS,1,1
20602698409,2021,AMAZONAS,1,1
20604115923,2021,AMAZONAS,1,1
20604451648,2021,AMAZONAS,1,1
20604775010,2021,AMAZONAS,1,1
20126533447,2021,ANCASH,1,1
20260236611,2021,ANCASH,1,1
20407893248,2021,ANCASH,1,1
20407909268,2021,ANCASH,1,1
20408018804,2021,ANCASH,3,1
20408114943,2021,ANCASH,1,1
20445575411,2021,ANCASH,2,1
20445582973,2021,ANCASH,1,1
20445667618,2021,ANCASH,1,1
20450157008,2021,ANCASH,1,2
20453649840,2021,ANCASH,1,2
20461192077,2021,ANCASH,1,1
20486290910,2021,ANCASH,2,1
20486419971,2021,ANCASH,2,1
20487110141,2021,ANCASH,1,1
20488351398,2021,ANCASH,3,1
20488415973,2021,ANCASH,1,1
20529066521,2021,ANCASH,1,2
20530585078,2021,ANCASH,1,1
20530592520,2021,ANCASH,1,1
20530706398,2021,ANCASH,1,1
20530933882,2021,ANCASH,1,1
20530990681,2021,ANCASH,1,1
20531000316,2021,ANCASH,1,1
20531065019,2021,ANCASH,2,1
20531084072,2021,ANCASH,3,1
20531820542,2021,ANCASH,1,1
20531884435,2021,ANCASH,1,1
20533086510,2021,ANCASH,1,1
20533631305,2021,ANCASH,2,1
20533652213,2021,ANCASH,1,1
20533729615,2021,ANCASH,1,1
20533751386,2021,ANCASH,1,1
20533786333,2021,ANCASH,1,1
20533788891,2021,ANCASH,1,1
20534013923,2021,ANCASH,1,1
20534027126,2021,ANCASH,1,1
20534158069,2021,ANCASH,2,1
20534166240,2021,ANCASH,1,2
20534171910,2021,ANCASH,1,1
20534197986,2021,ANCASH,1,1
20541445553,2021,ANCASH,1,1
20541706454,2021,ANCASH,2,2
20542030802,2021,ANCASH,1,1
20542040786,2021,ANCASH,1,1
20542049228,2021,ANCASH,1,1
20542132982,2021,ANCASH,1,1
20542141116,2021,ANCASH,1,1
20542191059,2021,ANCASH,5,2
20542438984,2021,ANCASH,1,1
20544063392,2021,ANCASH,1,1
20549761608,2021,ANCASH,1,1
20569181756,2021,ANCASH,1,1
20571135885,2021,ANCASH,4,1
20571184151,2021,ANCASH,2,1
20571238269,2021,ANCASH,1,1
20571250552,2021,ANCASH,1,1
20571288363,2021,ANCASH,1,1
20571309891,2021,ANCASH,1,1
20571395283,2021,ANCASH,4,1
20571395364,2021,ANCASH,2,1
20600403207,2021,ANCASH,1,1
20600683650,2021,ANCASH,2,2
20600770226,2021,ANCASH,1,1
20601052980,2021,ANCASH,1,1
20601175411,2021,ANCASH,1,1
20601568561,2021,ANCASH,1,1
20602541216,2021,ANCASH,1,1
20603092440,2021,ANCASH,1,1
20603321309,2021,ANCASH,1,1
20604232610,2021,ANCASH,1,1
20605871420,2021,ANCASH,1,1
20605992146,2021,ANCASH,1,1
20606854081,2021,ANCASH,1,1
20608456857,2021,ANCASH,1,1
20608495267,2021,ANCASH,1,1
20608705334,2021,ANCASH,1,1
20527479704,2021,APURIMAC,1,2
20527760071,2021,APURIMAC,1,1
20264545812,2021,AREQUIPA,1,1
20344483702,2021,AREQUIPA,1,2
20456323007,2021,AREQUIPA,1,1
20534029927,2021,AREQUIPA,1,2
20563373009,2021,AREQUIPA,1,1
20600929438,2021,AREQUIPA,1,1
20601116082,2021,AREQUIPA,1,1
20218090550,2021,AYACUCHO,1,1
20407412592,2021,AYACUCHO,1,2
20476423539,2021,AYACUCHO,1,1
20494485118,2021,AYACUCHO,1,1
20453627951,2021,CAJAMARCA,1,1
20481813841,2021,CAJAMARCA,1,3
20495656234,2021,CAJAMARCA,1,1
20495865747,2021,CAJAMARCA,2,2
20496021038,2021,CAJAMARCA,1,1
20496159811,2021,CAJAMARCA,2,1
20529467606,2021,CAJAMARCA,2,1
20601473454,2021,CAJAMARCA,1,1
20261295246,2021,CALLAO,1,1
20296637697,2021,CALLAO,1,1
20335343701,2021,CALLAO,1,1
20489539137,2021,CALLAO,1,1
20489665604,2021,CALLAO,1,1
20493043073,2021,CALLAO,2,1
20506003351,2021,CALLAO,1,1
20507503889,2021,CALLAO,1,1
20513051833,2021,CALLAO,1,2
20521401703,2021,CALLAO,1,1
20525089917,2021,CALLAO,1,1
20534004185,2021,CALLAO,1,1
20543060918,2021,CALLAO,2,1
20546240852,2021,CALLAO,1,1
20547896026,2021,CALLAO,1,1
20601500648,2021,CALLAO,1,1
20602979173,2021,CALLAO,1,2
20524375631,2021,CUSCO,1,1
20527109362,2021,CUSCO,1,1
20527942773,2021,CUSCO,1,1
20528003401,2021,CUSCO,1,1
20547097069,2021,CUSCO,1,2
10206701248,2021,HUANCAVELICA,1,1
10295928234,2021,HUANCAVELICA,1,1
10410713506,2021,HUANCAVELICA,1,1
20451961196,2021,HUANCAVELICA,1,1
20452840775,2021,HUANCAVELICA,1,1
20486136830,2021,HUANCAVELICA,1,1
20486404273,2021,HUANCAVELICA,2,1
20486974886,2021,HUANCAVELICA,1,1
20487064522,2021,HUANCAVELICA,1,1
20494341973,2021,HUANCAVELICA,1,1
20494665876,2021,HUANCAVELICA,1,1
20494947774,2021,HUANCAVELICA,1,1
20494951020,2021,HUANCAVELICA,2,1
20503865549,2021,HUANCAVELICA,1,1
20520970704,2021,HUANCAVELICA,1,1
20568355041,2021,HUANCAVELICA,1,1
20600180771,2021,HUANCAVELICA,1,1
20600601891,2021,HUANCAVELICA,1,1
20600661966,2021,HUANCAVELICA,1,1
20600977661,2021,HUANCAVELICA,1,2
20601480493,2021,HUANCAVELICA,1,1
20601714966,2021,HUANCAVELICA,1,1
20604269009,2021,HUANCAVELICA,1,2
20604315582,2021,HUANCAVELICA,1,1
20605034684,2021,HUANCAVELICA,1,1
20605487051,2021,HUANCAVELICA,1,1
99000030216,2021,HUANCAVELICA,1,1
20393151812,2021,HUANUCO,1,1
20489536979,2021,HUANUCO,1,1
20492255981,2021,HUANUCO,1,1
20516615088,2021,HUANUCO,1,1
20542191059,2021,HUANUCO,2,2
20547097069,2021,HUANUCO,1,2
20600106351,2021,HUANUCO,1,1
20601263158,2021,HUANUCO,1,1
20602631258,2021,HUANUCO,1,1
20604540764,2021,HUANUCO,1,1
20606474254,2021,HUANUCO,1,1
20367759551,2021,ICA,1,1
20452468418,2021,ICA,1,1
20508326433,2021,ICA,1,1
20527267511,2021,ICA,1,1
