gore,anio,cod_cgr,entidad_inco,puntaje_inco,rango_inco
AMAZONAS,2021,5331,REGION AMAZONAS-SEDE CENTRAL,68.3,Alto
ANCASH,2021,5332,REGION ANCASH SEDE CENTRAL,88.9,Muy alto
APURIMAC,2021,5333,REGION APURIMAC-SEDE CENTRAL,79.5,Muy alto
AREQUIPA,2021,5334,REGION AREQUIPA-SEDE CENTRAL,94.1,Muy alto
AYACUCHO,2021,5335,REGION AYACUCHO-SEDE CENTRAL,85.2,Muy alto
CAJAMARCA,2021,5336,REGION CAJAMARCA-SEDE CENTRAL,65.9,Alto
CALLAO,2021,5355,REGION CALLAO,86.1,Muy alto
CUSCO,2021,5337,REGION CUSCO-SEDE CENTRAL,71.5,Alto
HUANCAVELICA,2021,5338,REGION HUANCAVELICA-SEDE CENTRAL,78.8,Muy alto
HUANUCO,2021,5339,REGION HUANUCO-SEDE CENTRAL,76.6,Muy alto
ICA,2021,5340,REGION ICA-SEDE CENTRAL,53.7,Mediano alto
JUNIN,2021,5341,REGION JUNIN-SEDE CENTRAL,82.4,Muy alto
LA LIBERTAD,2021,5342,REGION LA LIBERTAD-SEDE CENTRAL,82.0,Muy alto
LAMBAYEQUE,2021,5343,REGION LAMBAYEQUE-SEDE CENTRAL,71.2,Alto
LIMA,2021,5344,REGION LIMA,81.9,Muy alto
LORETO,2021,5345,REGION LORETO-SEDE CENTRAL,89.8,Muy alto
MADRE DE DIOS,2021,5346,REGION MADRE DE DIOS-SEDE CENTRAL,63.3,Alto
MOQUEGUA,2021,5347,REGION MOQUEGUA-SEDE CENTRAL,78.7,Muy alto
PASCO,2021,5348,REGION PASCO-SEDE CENTRAL,73.6,Alto
PIURA,2021,5349,REGION PIURA-SEDE CENTRAL,89.5,Muy alto
PUNO,2021,5350,REGION PUNO-SEDE CENTRAL,85.8,Muy alto
SAN MARTIN,2021,5351,REGION SAN MARTIN-SEDE CENTRAL,61.1,Alto
TACNA,2021,5352,REGION TACNA-SEDE CENTRAL,93.9,Muy alto
TUMBES,2021,5353,REGION TUMBES-SEDE CENTRAL,77.5,Muy alto
UCAYALI,2021,5354,REGION UCAYALI-SEDE CENTRAL,78.4,Muy alto
AMAZONAS,2022,5331,REGION AMAZONAS-SEDE CENTRAL,67.2,Alto
ANCASH,2022,5332,REGION ANCASH SEDE CENTRAL,84.1,Muy alto
APURIMAC,2022,5333,REGION APURIMAC-SEDE CENTRAL,74.4,Alto
AREQUIPA,2022,5334,REGION AREQUIPA-SEDE CENTRAL,70.1,Alto
AYACUCHO,2022,5335,REGION AYACUCHO-SEDE CENTRAL,68.9,Alto
CAJAMARCA,2022,5336,REGION CAJAMARCA-SEDE CENTRAL,63.0,Alto
CALLAO,2022,5355,REGION CALLAO,68.6,Alto
CUSCO,2022,5337,REGION CUSCO-SEDE CENTRAL,67.8,Alto
HUANCAVELICA,2022,5338,REGION HUANCAVELICA-SEDE CENTRAL,72.8,Alto
HUANUCO,2022,5339,REGION HUANUCO-SEDE CENTRAL,72.7,Alto
ICA,2022,5340,REGION ICA-SEDE CENTRAL,68.2,Alto
JUNIN,2022,5341,REGION JUNIN-SEDE CENTRAL,81.2,Muy alto
LA LIBERTAD,2022,5342,REGION LA LIBERTAD-SEDE CENTRAL,74.0,Alto
LAMBAYEQUE,2022,5343,REGION LAMBAYEQUE-SEDE CENTRAL,69.4,Alto
LIMA,2022,5344,REGION LIMA,71.9,Alto
LORETO,2022,5345,REGION LORETO-SEDE CENTRAL,80.4,Muy alto
MADRE DE DIOS,2022,5346,REGION MADRE DE DIOS-SEDE CENTRAL,49.1,Medio alto
MOQUEGUA,2022,5347,REGION MOQUEGUA-SEDE CENTRAL,75.2,Muy alto
PASCO,2022,5348,REGION PASCO-SEDE CENTRAL,67.3,Alto
PIURA,2022,5349,REGION PIURA-SEDE CENTRAL,82.2,Muy alto
PUNO,2022,5350,REGION PUNO-SEDE CENTRAL,80.4,Muy alto
SAN MARTIN,2022,5351,REGION SAN MARTIN-SEDE CENTRAL,71.2,Alto
TACNA,2022,5352,REGION TACNA-SEDE CENTRAL,67.3,Alto
TUMBES,2022,5353,REGION TUMBES-SEDE CENTRAL,76.1,Muy alto
UCAYALI,2022,5354,REGION UCAYALI-SEDE CENTRAL,66.6,Alto
AMAZONAS,2024,5331,REGION AMAZONAS-SEDE CENTRAL,49.0,Mediano alto
ANCASH,2024,5332,REGION ANCASH SEDE CENTRAL,67.9,Alto
APURIMAC,2024,5333,REGION APURIMAC-SEDE CENTRAL,58.4,Mediano alto
AREQUIPA,2024,5334,REGION AREQUIPA-SEDE CENTRAL,70.2,Alto
AYACUCHO,2024,5335,REGION AYACUCHO-SEDE CENTRAL,60.7,Alto
CAJAMARCA,2024,5336,REGION CAJAMARCA-SEDE CENTRAL,56.7,Mediano alto
CALLAO,2024,5355,REGION CALLAO,56.1,Mediano alto
CUSCO,2024,5337,REGION CUSCO-SEDE CENTRAL,58.5,Mediano alto
HUANCAVELICA,2024,5338,REGION HUANCAVELICA-SEDE CENTRAL,68.6,Alto
HUANUCO,2024,5339,REGION HUANUCO-SEDE CENTRAL,58.2,Mediano alto
ICA,2024,5340,REGION ICA-SEDE CENTRAL,52.9,Mediano alto
JUNIN,2024,5341,REGION JUNIN-SEDE CENTRAL,71.6,Alto
LA LIBERTAD,2024,5342,REGION LA LIBERTAD-SEDE CENTRAL,60.8,Alto
LAMBAYEQUE,2024,5343,REGION LAMBAYEQUE-SEDE CENTRAL,64.4,Alto
LIMA,2024,5344,REGION LIMA,63.2,Alto
LORETO,2024,5345,REGION LORETO-SEDE CENTRAL,67.9,Alto
MADRE DE DIOS,2024,5346,REGION MADRE DE DIOS-SEDE CENTRAL,48.5,Mediano alto
