ruc,razon_social,nombre_comercial,anio,gore,fecha_inscripcion,fecha_inicio_actividades,anio_inicio_actividades,antiguedad_empresa,inicio_posterior_contratacion,primer_anio_contratacion,experiencia_contratacion,n_contratos,n_gores_anio,cmc,n_contratos_cmc_evaluables,n_supera_cmc,prop_supera_cmc,tipo_contribuyente,estado,condicion,fecha_baja,domicilio,actividad_principal,cantidad_rubros,actividades_economicas,sanciones_tcp_acum,penalidades_acum,inhabilitacion_judicial,inhabilitacion_administrativa,fecha_consulta_sunat,sunat_ok,tiene_info_sunat,tiene_info_proveedores_estado,puntaje_inco,rango_inco
20136318323,SERVICIOS TECNICOS COMERCIALES SA,SERTECO S.A.,2021,AMAZONAS,13/05/1993,10/03/1982,1982.0,39.0,0,2014,7,1,1,10650000.0,1,0.0,0.0,SOCIEDAD ANONIMA,ACTIVO,HABIDO,,LIMA/LIMA/MAGDALENA DEL MAR,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,3.0,"Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 1 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN | Secundaria 2 - 4690 - VENTA AL POR MAYOR NO ESPECIALIZADA",1,0,0,0,23/09/2026 22:08,1,1,1,68.3,Alto
20450157008,INSTALACIONES ELECTROMECANICAS Y CIVILES INTELSA E.I.R.L.,-,2021,AMAZONAS,18/07/2006,18/07/2006,2006.0,15.0,0,2017,4,1,2,100000.0,1,1.0,1.0,EMPRESA INDIVIDUAL DE RESP. LTDA,BAJA PROV. POR OFICIO,HABIDO,30/06/2026,SAN MARTIN/SAN MARTIN/TARAPOTO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 7020 - ACTIVIDADES DE CONSULTORÍA DE GESTIÓN | Secundaria 2 - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,2,0,0,0,23/09/2026 22:19,1,1,1,68.3,Alto
20450326713,ENGINEERING BUILD S.A.C,EBUSAC,2021,AMAZONAS,10/05/2008,09/05/2008,2008.0,13.0,0,2010,11,3,1,160346215.73,3,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,SAN MARTIN/MOYOBAMBA/MOYOBAMBA,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,0,0,0,0,23/09/2026 22:19,1,1,1,68.3,Alto
20477530665,ODISEA PERUS S.A.C.,-,2021,AMAZONAS,15/12/2011,15/12/2011,2011.0,10.0,0,2014,7,1,2,100000.0,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,NO HALLADO,,LIMA/LIMA/LIMA,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4210 - CONSTRUCCIÓN DE CARRETERAS Y VÍAS DE FERROCARRIL | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",1,1,0,0,23/09/2026 22:22,1,1,1,68.3,Alto
20479683728,V&H CONTRATISTAS GENERALES EIRL,V&H CONTRATISTAS GRLES EIRL,2021,AMAZONAS,01/12/2003,01/03/2004,2004.0,17.0,0,2011,10,1,1,237708822.96,1,0.0,0.0,EMPRESA INDIVIDUAL DE RESP. LTDA,ACTIVO,HABIDO,,AMAZONAS/CHACHAPOYAS/CHACHAPOYAS,Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA,3.0,"Principal - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 1 - 4220 - CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:22,1,1,1,68.3,Alto
20479790303,COSACH S.R.L.,COSACH,2021,AMAZONAS,07/10/2004,02/11/2004,2004.0,17.0,0,2011,10,1,1,4237251.2,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,AMAZONAS/CHACHAPOYAS/CHACHAPOYAS,"Principal - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN",3.0,"Principal - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN | Secundaria 1 - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:22,1,1,1,68.3,Alto
20480427913,MR VILLAGE S.A.C.,-,2021,AMAZONAS,22/07/2008,22/07/2008,2008.0,13.0,0,2012,9,1,1,108198774.23,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,AMAZONAS/CHACHAPOYAS/CHACHAPOYAS,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,3.0,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 1 - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 2 - 3311 - REPARACIÓN DE PRODUCTOS ELABORADOS DE METAL,0,0,0,0,23/09/2026 22:23,1,1,1,68.3,Alto
20480774397,2SFD CONSULTORES & CONSTRUCTORES S.R.L.,-,2021,AMAZONAS,08/01/2010,01/01/2010,2010.0,11.0,0,2012,9,1,1,100000.0,1,1.0,1.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LIMA/LIMA/SANTIAGO DE SURCO,Principal - 4210 - CONSTRUCCIÓN DE CARRETERAS Y VÍAS DE FERROCARRIL,3.0,Principal - 4210 - CONSTRUCCIÓN DE CARRETERAS Y VÍAS DE FERROCARRIL | Secundaria 1 - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 2 - 7410 - ACTIVIDADES ESPECIALIZADAS DE DISEÑO,2,0,0,0,23/09/2026 22:23,1,1,1,68.3,Alto
20480791305,CONSTRUCTORA DURANGO E.I.R.L.,-,2021,AMAZONAS,02/02/2010,01/02/2010,2010.0,11.0,0,2011,10,2,1,93620835.38,2,0.0,0.0,EMPRESA INDIVIDUAL DE RESP. LTDA,ACTIVO,HABIDO,,AMAZONAS/CHACHAPOYAS/CHACHAPOYAS,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 4922 - OTRAS ACTIVIDADES DE TRANSPORTE POR VÍA TERRESTRE,1,0,0,0,23/09/2026 22:23,1,1,1,68.3,Alto
20480836252,E & R2 CONTRATISTAS GENERALES S.A.C.,-,2021,AMAZONAS,05/04/2010,01/04/2010,2010.0,11.0,0,2012,9,3,1,258350662.01,3,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,AMAZONAS/CHACHAPOYAS/CHACHAPOYAS,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:23,1,1,1,68.3,Alto
