DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,29/12/2011,20479717304,,,,,,,,,"553,742.97"
AMAZONAS,28/12/2011,20479683728,20480052090,20508637358,,,,,,,"2,600,000.00"
AMAZONAS,01/12/2011,20516728362,20531703155,20506812462,,,,,,,"1,701,595.00"
AMAZONAS,23/11/2011,20487406261,,,,,,,,,"509,548.14"
AMAZONAS,21/11/2011,20452440912,20502397568,,,,,,,,"8,444,624.37"
AMAZONAS,18/11/2011,20480052090,20479683728,,,,,,,,"2,017,783.31"
AMAZONAS,11/11/2011,20515771591,20537837757,20479813958,,,,,,,"1,763,291.55"
AMAZONAS,10/11/2011,20487543099,,,,,,,,,"556,827.21"
AMAZONAS,10/11/2011,20479683728,20480052090,20479790303,,,,,,,"1,620,453.54"
AMAZONAS,08/11/2011,20479683728,20487499685,,,,,,,,"1,735,000.00"
AMAZONAS,28/10/2011,20493504062,20480052090,20479683728,,,,,,,"6,520,000.00"
AMAZONAS,06/10/2011,20100364701,20393096960,,,,,,,,"31,395,010.00"
AMAZONAS,03/10/2011,20392284169,,,,,,,,,"360,371.02"
AMAZONAS,03/10/2011,20480411081,20480403496,,,,,,,,"914,310.65"
AMAZONAS,15/09/2011,20487641422,20484065480,20487519384,,,,,,,"1,501,721.05"
AMAZONAS,25/08/2011,20487598071,,,,,,,,,"118,186.68"
AMAZONAS,24/08/2011,20480791305,20487499685,,,,,,,,"354,054.43"
AMAZONAS,15/07/2011,20480009755,,,,,,,,,"248,118.47"
AMAZONAS,28/06/2011,20479808440,20487590925,,,,,,,,"2,003,620.95"
AMAZONAS,06/05/2013,20226217003,,,,,,,,,"5,891,712.29"
AMAZONAS,18/03/2013,20506426155,20226217003,,,,,,,,"5,891,712.29"
AMAZONAS,27/02/2013,20479646440,,,,,,,,,"284,500.00"
AMAZONAS,19/02/2013,20480546921,,,,,,,,,"537,120.00"
AMAZONAS,29/12/2012,20480791305,20487499685,,,,,,,,"882,000.00"
AMAZONAS,29/12/2012,20479646440,,,,,,,,,"278,278.79"
AMAZONAS,21/12/2012,20480403496,20480641249,,,,,,,,"1,162,969.56"
AMAZONAS,19/12/2012,20480836252,20487499685,,,,,,,,"1,731,117.16"
AMAZONAS,11/12/2012,20480009755,,,,,,,,,"780,130.62"
AMAZONAS,11/12/2012,20480522827,,,,,,,,,"1,767,528.67"
AMAZONAS,11/12/2012,20480580860,20480403496,,,,,,,,"1,327,159.81"
AMAZONAS,07/12/2012,20393096960,,,,,,,,,"2,134,654.46"
AMAZONAS,07/12/2012,20393096960,,,,,,,,,"1,851,108.52"
